Season,No. overall,No. in season,Title,Directed by,Written by,Original release date [22],ViewersMillions
1,1,1,"""Cartman Gets an Anal Probe""",Trey Parker[23],Trey Parker & Matt Stone,"August 13, 1997",0.89
1,2,2,"""Volcano""",Trey Parker & Matt Stone,Trey Parker & Matt Stone,"August 20, 1997",1.11
1,3,3,"""Weight Gain 4000""",Trey Parker & Matt Stone,Trey Parker & Matt Stone,"August 27, 1997",0.72
1,4,4,"""Big Gay Al's Big Gay Boat Ride""",Trey Parker[27],Trey Parker & Matt Stone[27],"September 3, 1997",0.69
1,5,5,"""An Elephant Makes Love to a Pig""",Trey Parker (uncredited),"Trey Parker, Matt Stone & Dan Sterling","September 10, 1997",1.29
1,6,6,"""Death""",Matt Stone,Trey Parker & Matt Stone,"September 17, 1997",1.13
1,7,7,"""Pinkeye""",Trey Parker & Matt Stone,"Trey Parker, Matt Stone & Philip Stark","October 29, 1997",2.67
1,8,8,"""Starvin' Marvin""",Trey Parker,Trey Parker,"November 19, 1997",3.68
1,9,9,"""Mr. Hankey, the Christmas Poo""",Trey Parker & Matt Stone,Trey Parker,"December 17, 1997",4.55
1,10,10,"""Damien""",Trey Parker,Trey Parker & Matt Stone,"February 4, 1998",5.55
1,11,11,"""Tom's Rhinoplasty""",Trey Parker (uncredited),Trey Parker,"February 11, 1998",4.68
1,12,12,"""Mecha-Streisand""",Trey Parker,"Trey Parker, Philip Stark & Matt Stone","February 18, 1998",5.38
1,13,13,"""Cartman's Mom Is a Dirty Slut""",Trey Parker,Trey Parker & David R. Goodman,"February 25, 1998",5.4
2,14,1,"""Terrance and Phillip in Not Without My Anus""",Trey Parker,Trisha Nixon & Trey Parker,"April 1, 1998",5.55
2,15,2,"""Cartman's Mom Is Still a Dirty Slut""",Trey Parker,David Goodman & Trey Parker,"April 22, 1998",6.2
2,16,3,"""Ike's Wee Wee""",Trey Parker,Trey Parker,"May 20, 1998",4.89
2,17,4,"""Chickenlover""",Trey Parker,"Trey Parker, Matt Stone & David Goodman","May 27, 1998",4.56
2,18,5,"""Conjoined Fetus Lady""",Trey Parker,"Trey Parker, Matt Stone & David Goodman","June 3, 1998",3.95
2,19,6,"""The Mexican Staring Frog of Southern Sri Lanka""",Trey Parker,Trey Parker & Matt Stone,"June 10, 1998",4.16
2,20,7,"""City on the Edge of Forever""",Trey Parker,Trey Parker & Nancy M. Pimental,"June 17, 1998",4.8
2,21,8,"""Summer Sucks""",Trey Parker,Nancy M. Pimental & Trey Parker,"June 24, 1998",3.87
2,22,9,"""Chef's Chocolate Salty Balls""",Trey Parker,"Trey Parker, Matt Stone & Nancy M. Pimental","August 19, 1998",5.27
2,23,10,"""Chickenpox""",Trey Parker,"Trey Parker, Matt Stone & Trisha Nixon","August 26, 1998",4.99
2,24,11,"""Roger Ebert Should Lay Off the Fatty Foods""",Trey Parker,Trey Parker & David Goodman,"September 2, 1998",4.09
2,25,12,"""Clubhouses""",Trey Parker,Trey Parker & Nancy M. Pimental,"September 23, 1998",3.49
2,26,13,"""Cow Days""",Trey Parker,Trey Parker & David Goodman,"September 30, 1998",3.42
2,27,14,"""Chef Aid""",Trey Parker,Trey Parker & Matt Stone,"October 7, 1998",3.21
2,28,15,"""Spookyfish""",Trey Parker,Trey Parker,"October 28, 1998",4.91
2,29,16,"""Merry Christmas, Charlie Manson!""",Eric Stough,Trey Parker & Nancy M. Pimental,"December 9, 1998",3.28
2,30,17,"""Gnomes""",Trey Parker,"Pam Brady, Trey Parker & Matt Stone","December 16, 1998",3.01
2,31,18,"""Prehistoric Ice Man""",Eric Stough,Trey Parker & Nancy M. Pimental,"January 20, 1999",3.6
3,32,1,"""Rainforest Shmainforest""",Trey Parker & Eric Stough,Trey Parker & Matt Stone,"April 7, 1999",3.41
3,33,2,"""Spontaneous Combustion""",Matt Stone,"Trey Parker, Matt Stone & David Goodman","April 14, 1999",3.28
3,34,3,"""Succubus""",Trey Parker,Trey Parker,"April 21, 1999",2.55
3,35,4,"""Jakovasaurs""",Matt Stone,"Trey Parker, Matt Stone & David Goodman","June 16, 1999",2.92
3,36,5,"""Tweek vs. Craig""",Trey Parker,Trey Parker,"June 23, 1999",2.81
3,37,6,"""Sexual Harassment Panda""",Eric Stough,Trey Parker,"July 7, 1999",2.86
3,38,7,"""Cat Orgy""",Trey Parker,Trey Parker,"July 14, 1999",2.98
3,39,8,"""Two Guys Naked in a Hot Tub""",Trey Parker,"Trey Parker, Matt Stone & David Goodman","July 21, 1999",2.97
3,40,9,"""Jewbilee""",Trey Parker,Trey Parker,"July 28, 1999",2.85
3,41,10,"""Korn's Groovy Pirate Ghost Mystery""",Trey Parker,Trey Parker,"October 27, 1999",3.97
3,42,11,"""Chinpokomon""",Eric Stough & Trey Parker,Trey Parker,"November 3, 1999",3.51
3,43,12,"""Hooked on Monkey Fonics""",Trey Parker,Trey Parker,"November 10, 1999",3.04
3,44,13,"""Starvin' Marvin in Space""",Trey Parker,"Trey Parker, Matt Stone & Kyle McCulloch","November 17, 1999",2.99
3,45,14,"""The Red Badge of Gayness""",Trey Parker,Trey Parker,"November 24, 1999",2.96
3,46,15,"""Mr. Hankey's Christmas Classics""",Trey Parker,Trey Parker,"December 1, 1999",2.79
3,47,16,"""Are You There God? It's Me, Jesus""",Eric Stough,Trey Parker,"December 29, 1999",2.13
3,48,17,"""World Wide Recorder Concert""",Eric Stough,Trey Parker,"January 12, 2000",2.57
